siteID,original_site,lat,lon,KG_Code,KG_Label
AU-Dig,DigbyPlantation,-37.88269,141.61647,9,"Csb - Temperate, dry summer, warm summer"
AU-Gat,GatumPasture,-37.39004,141.9609,9,"Csb - Temperate, dry summer, warm summer"
AU-Otw,Otway,-38.525,142.81,9,"Csb - Temperate, dry summer, warm summer"
AU-SiP,SilverPlains,-42.09056,147.08749,15,"Cfb - Temperate, no dry season, warm summer"
AU-Eme,Emerald,-23.85872,148.47459,6,"BSh - Arid, steppe, hot"
AU-Alp,AlpinePeatland,-36.86222,147.32083,27,"Dfc - Cold, no dry season, cold summer"
AU-Rig,RiggsCreek,-36.656,145.576,8,"Csa - Temperate, dry summer, hot summer"
AU-YarC,YarramundiControl,-33.61347,150.73486,14,"Cfa - Temperate, no dry season, hot summer"
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,14,"Cfa - Temperate, no dry season, hot summer"
AU-Ync,Yanco,-34.9878,146.2908,7,"BSk - Arid, steppe, cold"
AU-DaP,DalyPasture,-14.0633,131.3181,3,"Aw - Tropical, savannah"
AU-Fog,FoggDam,-12.5452,131.30721,3,"Aw - Tropical, savannah"
AU-Stp,SturtPlains,-17.1507,133.35021,6,"BSh - Arid, steppe, hot"
AU-Wal,WallabyCreek,-37.4259,145.1878,15,"Cfb - Temperate, no dry season, warm summer"
AU-Col,Collie,-33.42,116.237,9,"Csb - Temperate, dry summer, warm summer"
AU-Boy,Boyagin,-32.47709,116.93856,8,"Csa - Temperate, dry summer, hot summer"
AU-Adr,AdelaideRiver,-13.0769,131.1178,3,"Aw - Tropical, savannah"
AU-DaS,DalyUncleared,-14.1592,131.38811,3,"Aw - Tropical, savannah"
AU-How,HowardSprings,-12.4952,131.15005,3,"Aw - Tropical, savannah"
AU-Lit,Litchfield,-13.17904,130.79454,3,"Aw - Tropical, savannah"
AU-Gre,GreatWesternWoodlands,-30.1914,120.65416,4,"BWh - Arid, desert, hot"
AU-Rgf,Ridgefield,-32.5061,116.96683,8,"Csa - Temperate, dry summer, hot summer"
AU-Cum,CumberlandPlain,-33.61528,150.72361,14,"Cfa - Temperate, no dry season, hot summer"
AU-Ctr,CapeTribulation,-16.10322,145.44692,1,"Af - Tropical, rainforest"
AU-Cow,CowBay,-16.23819,145.42716,2,"Am - Tropical, monsoon"
AU-Whr,Whroo,-36.6732,145.0294,7,"BSk - Arid, steppe, cold"
AU-Rob,RobsonCreek,-17.11747,145.63014,11,"Cwa - Temperate, dry winter, hot summer"
AU-Tum,Tumbarumba,-35.6566,148.15159,15,"Cfb - Temperate, no dry season, warm summer"
AU-Lox,Loxton,-34.47035,140.65512,5,"BWk - Arid, desert, cold"
AU-War,Warra,-43.09502,146.65452,15,"Cfb - Temperate, no dry season, warm summer"
AU-ASM,AliceSpringsMulga,-22.283,133.24899,4,"BWh - Arid, desert, hot"
AU-TTE,TiTreeEast,-22.287,133.64,4,"BWh - Arid, desert, hot"
AU-Gin,Gingin,-31.37635,115.71377,8,"Csa - Temperate, dry summer, hot summer"
AU-RDF,RedDirtMelonFarm,-14.56364,132.47757,3,"Aw - Tropical, savannah"
