Dataset Name,Data Type,HPC Absolute Path,Description,Usage in Manuscript
OzFlux Daily Meteorological and Flux Data,Input Forcing Data,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/,"Raw daily timeseries of precip, solar rad, relative humidity, wind speed, and eddy covariance fluxes for all 17 sites.",Input boundary conditions for Stochastic Soil Water Model (SSWM) simulation.
SoilGrids Physical Soil Properties,Input Soil Parameters,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/input_data/,"Fitted soil capacity, porosity, sand and clay fractions parsed from global SoilGrids.",Constrains active root-zone depth and soil water holding capacities.
Robson Creek Predawn & Midday Leaf Water Potential,Validation Observations,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_ensemble_top5/FINAL_PAPER_BUNDLE_ENSEMBLE/02_Validation_Plots/validation_data/Robson_Creek_Predawn_and_Midday_leaf_water_potential_data.csv,Observed predawn and midday leaf water potentials (MPa) at Robson Creek (rainforest).,Used to validate simulated stomatal closure stress thresholds (s*).
Robson Creek Pneumatic Vulnerability Curves,Validation Observations,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_ensemble_top5/FINAL_PAPER_BUNDLE_ENSEMBLE/02_Validation_Plots/validation_data/Robson_Creek_pneumatic_vulnerability_curve_data.csv,Measured percentage loss of conductivity (PLC) vulnerability curves for Robson Creek species.,Used to validate calibrated hydraulic traits (P50/Pg50).
Cow Bay Predawn & Midday Leaf Water Potential,Validation Observations,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_ensemble_top5/FINAL_PAPER_BUNDLE_ENSEMBLE/02_Validation_Plots/validation_data/Cow_Bay_Predawn_and_Midday_leaf_water_potential_data.csv,Observed predawn and midday leaf water potentials (MPa) at Cow Bay (tropical rainforest).,Used to validate simulated stomatal closure stress thresholds (s*).
Cow Bay Pneumatic Vulnerability Curves,Validation Observations,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_ensemble_top5/FINAL_PAPER_BUNDLE_ENSEMBLE/02_Validation_Plots/validation_data/Cow_Bay__pneumatic_vulnerability_curve_data.csv,Measured percentage loss of conductivity (PLC) vulnerability curves for Cow Bay species.,Used to validate calibrated hydraulic traits (P50/Pg50).
Baseline MCMC Calibrated Traits (BF),Fitted Parameters,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_agent_3_scientific/FINAL_PAPER_BUNDLE/output_corrected/combined/results_bf__ozflux_1.csv,"MCMC calibrated values of swilt, s*, and Emax under PT forcing (Best Fit model).",Benchmark empirical calibration parameters for baseline scenario.
Baseline MCMC Calibrated Traits (OPT),Fitted Parameters,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_agent_3_scientific/FINAL_PAPER_BUNDLE/output_corrected/combined/results_opt__ozflux_1.csv,"MCMC calibrated values of swilt, s*, and Emax under PT forcing (Eco-Evolutionary Optimality model).",Optimality-calibrated trait distributions for baseline scenario.
Ensemble MCMC Calibrated Traits (BF),Fitted Parameters,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_ensemble_top5/FINAL_PAPER_BUNDLE_ENSEMBLE/output_corrected/combined/results_bf__ozflux_1.csv,"MCMC calibrated values of swilt, s*, and Emax under Top-5 Ensemble PET forcing (Best Fit model).",Benchmark empirical calibration parameters for ensemble study.
Ensemble MCMC Calibrated Traits (OPT),Fitted Parameters,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_ensemble_top5/FINAL_PAPER_BUNDLE_ENSEMBLE/output_corrected/combined/results_opt__ozflux_1.csv,MCMC calibrated traits under Top-5 Ensemble PET forcing (Eco-Evolutionary Optimality model).,Optimality-calibrated trait distributions for ensemble study.
Baseline Performance Evaluation Metrics,Fitted Statistics,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia_agent_3_scientific/FINAL_PAPER_BUNDLE/output_corrected/combined/NSE_Comparison_Table_Scientific.csv,"Comparative statistics (NSE, Energy performance) between BF and OPT under PT forcing.",Populates Table 1 of the baseline manuscript.
